x_circle,y_circle,radius,curve_x,curve_y,free_span_status,stability_percentage
0.0,0.0,196.20683960179835,"[-986.99999999 -983.04108215 -979.08216432 -975.12324648 -971.16432865
 -967.20541081 -963.24649298 -959.28757514 -955.3286573  -951.36973947
 -947.41082163 -943.4519038  -939.49298596 -935.53406813 -931.57515029
 -927.61623246 -923.65731462 -919.69839678 -915.73947895 -911.78056111
 -907.82164328 -903.86272544 -899.90380761 -895.94488977 -891.98597193
 -888.0270541  -884.06813626 -880.10921843 -876.15030059 -872.19138276
 -868.23246492 -864.27354708 -860.31462925 -856.35571141 -852.39679358
 -848.43787574 -844.47895791 -840.52004007 -836.56112223 -832.6022044
 -828.64328656 -824.68436873 -820.72545089 -816.76653306 -812.80761522
 -808.84869739 -804.88977955 -800.93086171 -796.97194388 -793.01302604
 -789.05410821 -785.09519037 -781.13627254 -777.1773547  -773.21843686
 -769.25951903 -765.30060119 -761.34168336 -757.38276552 -753.42384769
 -749.46492985 -745.50601201 -741.54709418 -737.58817634 -733.62925851
 -729.67034067 -725.71142284 -721.752505   -717.79358716 -713.83466933
 -709.87575149 -705.91683366 -701.95791582 -697.99899799 -694.04008015
 -690.08116231 -686.12224448 -682.16332664 -678.20440881 -674.24549097
 -670.28657314 -666.3276553  -662.36873747 -658.40981963 -654.45090179
 -650.49198396 -646.53306612 -642.57414829 -638.61523045 -634.65631262
 -630.69739478 -626.73847694 -622.77955911 -618.82064127 -614.86172344
 -610.9028056  -606.94388777 -602.98496993 -599.02605209 -595.06713426
 -591.10821642 -587.14929859 -583.19038075 -579.23146292 -575.27254508
 -571.31362724 -567.35470941 -563.39579157 -559.43687374 -555.4779559
 -551.51903807 -547.56012023 -543.6012024  -539.64228456 -535.68336672
 -531.72444889 -527.76553105 -523.80661322 -519.84769538 -515.88877755
 -511.92985971 -507.97094187 -504.01202404 -500.0531062  -496.09418837
 -492.13527053 -488.1763527  -484.21743486 -480.25851702 -476.29959919
 -472.34068135 -468.38176352 -464.42284568 -460.46392785 -456.50501001
 -452.54609217 -448.58717434 -444.6282565  -440.66933867 -436.71042083
 -432.751503   -428.79258516 -424.83366732 -420.87474949 -416.91583165
 -412.95691382 -408.99799598 -405.03907815 -401.08016031 -397.12124248
 -393.16232464 -389.2034068  -385.24448897 -381.28557113 -377.3266533
 -373.36773546 -369.40881763 -365.44989979 -361.49098195 -357.53206412
 -353.57314628 -349.61422845 -345.65531061 -341.69639278 -337.73747494
 -333.7785571  -329.81963927 -325.86072143 -321.9018036  -317.94288576
 -313.98396793 -310.02505009 -306.06613225 -302.10721442 -298.14829658
 -294.18937875 -290.23046091 -286.27154308 -282.31262524 -278.35370741
 -274.39478957 -270.43587173 -266.4769539  -262.51803606 -258.55911823
 -254.60020039 -250.64128256 -246.68236472 -242.72344688 -238.76452905
 -234.80561121 -230.84669338 -226.88777554 -222.92885771 -218.96993987
 -215.01102203 -211.0521042  -207.09318636 -203.13426853 -199.17535069
 -195.21643286 -191.25751502 -187.29859718 -183.33967935 -179.38076151
 -175.42184368 -171.46292584 -167.50400801 -163.54509017 -159.58617234
 -155.6272545  -151.66833666 -147.70941883 -143.75050099 -139.79158316
 -135.83266532 -131.87374749 -127.91482965 -123.95591181 -119.99699398
 -116.03807614 -112.07915831 -108.12024047 -104.16132264 -100.2024048
  -96.24348696  -92.28456913  -88.32565129  -84.36673346  -80.40781562
  -76.44889779  -72.48997995  -68.53106211  -64.57214428  -60.61322644
  -56.65430861  -52.69539077  -48.73647294  -44.7775551   -40.81863726
  -36.85971943  -32.90080159  -28.94188376  -24.98296592  -21.02404809
  -17.06513025  -13.10621242   -9.14729458   -5.18837674   -1.22945891
    2.72945893    6.68837676   10.6472946    14.60621243   18.56513027
   22.52404811   26.48296594   30.44188378   34.40080161   38.35971945
   42.31863728   46.27755512   50.23647296   54.19539079   58.15430863
   62.11322646   66.0721443    70.03106213   73.98997997   77.94889781
   81.90781564   85.86673348   89.82565131   93.78456915   97.74348698
  101.70240482  105.66132265  109.62024049  113.57915833  117.53807616
  121.496994    125.45591183  129.41482967  133.3737475   137.33266534
  141.29158318  145.25050101  149.20941885  153.16833668  157.12725452
  161.08617235  165.04509019  169.00400803  172.96292586  176.9218437
  180.88076153  184.83967937  188.7985972   192.75751504  196.71643288
  200.67535071  204.63426855  208.59318638  212.55210422  216.51102205
  220.46993989  224.42885773  228.38777556  232.3466934   236.30561123
  240.26452907  244.2234469   248.18236474  252.14128257  256.10020041
  260.05911825  264.01803608  267.97695392  271.93587175  275.89478959
  279.85370742  283.81262526  287.7715431   291.73046093  295.68937877
  299.6482966   303.60721444  307.56613227  311.52505011  315.48396795
  319.44288578  323.40180362  327.36072145  331.31963929  335.27855712
  339.23747496  343.1963928   347.15531063  351.11422847  355.0731463
  359.03206414  362.99098197  366.94989981  370.90881764  374.86773548
  378.82665332  382.78557115  386.74448899  390.70340682  394.66232466
  398.62124249  402.58016033  406.53907817  410.497996    414.45691384
  418.41583167  422.37474951  426.33366734  430.29258518  434.25150302
  438.21042085  442.16933869  446.12825652  450.08717436  454.04609219
  458.00501003  461.96392787  465.9228457   469.88176354  473.84068137
  477.79959921  481.75851704  485.71743488  489.67635272  493.63527055
  497.59418839  501.55310622  505.51202406  509.47094189  513.42985973
  517.38877756  521.3476954   525.30661324  529.26553107  533.22444891
  537.18336674  541.14228458  545.10120241  549.06012025  553.01903809
  556.97795592  560.93687376  564.89579159  568.85470943  572.81362726
  576.7725451   580.73146294  584.69038077  588.64929861  592.60821644
  596.56713428  600.52605211  604.48496995  608.44388779  612.40280562
  616.36172346  620.32064129  624.27955913  628.23847696  632.1973948
  636.15631263  640.11523047  644.07414831  648.03306614  651.99198398
  655.95090181  659.90981965  663.86873748  667.82765532  671.78657316
  675.74549099  679.70440883  683.66332666  687.6222445   691.58116233
  695.54008017  699.49899801  703.45791584  707.41683368  711.37575151
  715.33466935  719.29358718  723.25250502  727.21142286  731.17034069
  735.12925853  739.08817636  743.0470942   747.00601203  750.96492987
  754.92384771  758.88276554  762.84168338  766.80060121  770.75951905
  774.71843688  778.67735472  782.63627255  786.59519039  790.55410823
  794.51302606  798.4719439   802.43086173  806.38977957  810.3486974
  814.30761524  818.26653308  822.22545091  826.18436875  830.14328658
  834.10220442  838.06112225  842.02004009  845.97895793  849.93787576
  853.8967936   857.85571143  861.81462927  865.7735471   869.73246494
  873.69138278  877.65030061  881.60921845  885.56813628  889.52705412
  893.48597195  897.44488979  901.40380762  905.36272546  909.3216433
  913.28056113  917.23947897  921.1983968   925.15731464  929.11623247
  933.07515031  937.03406815  940.99298598  944.95190382  948.91082165
  952.86973949  956.82865732  960.78757516  964.746493    968.70541083
  972.66432867  976.6232465   980.58216434  984.54108217  988.50000001]","[-392.26911963 -391.41114052 -387.86895087 -384.32676123 -383.76911963
 -383.76911963 -379.60762272 -375.56098695 -375.26911963 -375.26911963
 -367.64211562 -366.76911963 -366.76911963 -366.76911963 -366.76911963
 -359.57861362 -358.26911963 -358.26911963 -353.17221318 -350.21640747
 -349.76911963 -349.64629504 -346.10410539 -342.56191575 -341.26911963
 -334.95160961 -330.23479675 -324.44083879 -320.36196203 -315.98130487
 -315.76911963 -315.76911963 -315.76911963 -311.72871273 -307.67183551
 -307.26911963 -307.26911963 -299.8742048  -298.76911963 -298.76911963
 -298.76911963 -298.76911963 -298.76911963 -295.1841889  -291.08878882
 -290.26911963 -290.26911963 -290.26911963 -286.86255651 -282.40877394
 -281.26911963 -281.26911963 -281.26911963 -281.26911963 -281.26911963
 -281.26911963 -281.26911963 -287.44252895 -290.05381402 -290.26911963
 -290.26911963 -290.26911963 -290.26911963 -290.26911963 -290.26911963
 -290.26911963 -290.26911963 -290.26911963 -290.26911963 -290.26911963
 -290.26911963 -290.26911963 -290.75414231 -294.29633195 -297.83852159
 -298.76911963 -298.76911963 -298.76911963 -298.76911963 -298.76911963
 -300.89703839 -306.75692282 -307.26911963 -307.26911963 -307.26911963
 -307.26911963 -307.26911963 -307.26911963 -307.26911963 -307.26911963
 -307.26911963 -307.26911963 -310.5376268  -314.85927821 -315.76911963
 -315.76911963 -318.65544784 -322.3944258  -324.26911963 -324.26911963
 -324.26911963 -324.26911963 -324.26911963 -324.26911963 -324.26911963
 -324.26911963 -329.89753436 -332.76911963 -332.76911963 -332.76911963
 -332.76911963 -332.76911963 -334.71674522 -340.26508858 -341.26911963
 -341.26911963 -341.26911963 -341.26911963 -341.26911963 -341.36863445
 -344.91082409 -348.45301374 -349.76911963 -349.76911963 -349.76911963
 -349.76911963 -349.76911963 -349.76911963 -355.59477093 -358.26911963
 -358.26911963 -358.26911963 -358.26911963 -358.26911963 -358.26911963
 -358.26911963 -361.73288298 -366.07257437 -366.76911963 -366.76911963
 -366.76911963 -366.76911963 -366.76911963 -366.76911963 -366.76911963
 -366.76911963 -370.09742842 -374.21453285 -375.26911963 -375.26911963
 -375.26911963 -375.26911963 -375.26911963 -375.26911963 -375.26911963
 -380.86268176 -383.76911963 -383.76911963 -383.76911963 -383.76911963
 -383.76911963 -385.70928085 -391.24472602 -392.26911963 -392.26911963
 -392.26911963 -392.26911963 -392.26911963 -392.36214779 -396.11270153
 -399.86325527 -401.26911963 -401.26911963 -401.26911963 -401.26911963
 -405.66273445 -409.06402405 -409.76911963 -412.74860033 -416.89520763
 -418.26911963 -418.26911963 -418.26911963 -418.26911963 -418.26911963
 -418.26911963 -418.26911963 -423.4553081  -426.35456018 -426.76911963
 -426.76911963 -426.76911963 -426.76911963 -426.76911963 -426.76911963
 -426.76911963 -426.76911963 -426.76911963 -426.76911963 -426.76911963
 -426.76911963 -426.76911963 -426.76911963 -426.76911963 -426.76911963
 -426.76911963 -426.76911963 -426.76911963 -426.76911963 -426.76911963
 -426.76911963 -426.76911963 -426.76911963 -426.76911963 -426.76911963
 -426.76911963 -426.76911963 -430.18963457 -434.29894047 -435.26911963
 -435.26911963 -435.26911963 -435.26911963 -435.26911963 -435.26911963
 -435.26911963 -435.26911963 -435.26911963 -435.26911963 -435.26911963
 -434.01659292 -429.18573024 -426.76911963 -426.76911963 -426.76911963
 -426.76911963 -426.76911963 -426.76911963 -426.76911963 -426.76911963
 -426.76911963 -426.76911963 -426.76911963 -423.62229968 -420.08011003
 -418.26911963 -418.26911963 -416.86851337 -411.69655755 -406.69743278
 -402.55862401 -396.73248386 -392.8172874  -389.48987694 -385.94768729
 -383.76911963 -379.74197701 -374.83046129 -369.36287251 -364.15290895
 -359.97557732 -358.26911963 -358.26911963 -355.72347278 -351.98449483
 -349.76911963 -349.76911963 -349.76911963 -344.91964683 -341.78518425
 -341.26911963 -341.26911963 -341.26911963 -341.26911963 -341.26911963
 -341.26911963 -341.26911963 -341.26911963 -341.26911963 -341.26911963
 -341.26911963 -341.26911963 -344.32449354 -347.86668318 -349.76911963
 -349.76911963 -352.26424031 -356.45181338 -358.26911963 -358.26911963
 -361.03043173 -364.57262137 -366.76911963 -366.76911963 -366.76911963
 -371.44145016 -374.69943152 -375.26911963 -375.26911963 -378.59434904
 -382.13653868 -383.76911963 -383.76911963 -386.59862647 -390.75791812
 -392.26911963 -392.26911963 -392.26911963 -392.26911963 -392.26911963
 -392.26911963 -392.26911963 -392.26911963 -392.26911963 -392.26911963
 -392.26911963 -392.26911963 -392.26911963 -392.26911963 -392.26911963
 -389.37281957 -385.08555685 -383.76911963 -383.76911963 -383.76911963
 -383.76911963 -383.76911963 -383.76911963 -382.44504841 -377.63900884
 -375.26911963 -375.26911963 -371.57879646 -367.54089395 -364.28304221
 -360.74085257 -358.26911963 -351.39906703 -342.21039026 -335.89429932
 -330.51617897 -326.02319188 -324.26911963 -320.57745853 -316.83848058
 -314.14935201 -309.16753716 -304.48366813 -300.20664686 -293.11167975
 -288.79467073 -283.66509909 -281.26911963 -281.26911963 -281.26911963
 -280.1924539  -275.40512663 -270.1817928  -266.00201826 -260.74952873
 -256.612306   -255.76911963 -255.76911963 -255.76911963 -252.45054609
 -247.26414618 -242.07144159 -237.10699878 -232.02727177 -230.26911963
 -230.26911963 -230.26911963 -228.93492778 -223.91595394 -218.84740664
 -214.69591352 -213.26911963 -213.26911963 -213.26911963 -213.26911963
 -213.26911963 -208.28026693 -204.76911963 -204.76911963 -204.76911963
 -204.76911963 -204.76911963 -204.76911963 -204.76911963 -207.00761837
 -211.21689578 -213.26911963 -213.26911963 -213.26911963 -213.26911963
 -213.26911963 -213.26911963 -213.26911963 -218.89887915 -221.76911963
 -221.76911963 -224.56974262 -228.73147718 -230.26911963 -230.26911963
 -230.26911963 -232.62439735 -236.86167431 -238.76911963 -238.76911963
 -238.76911963 -238.76911963 -241.51967337 -245.06186301 -248.10758996
 -252.44567061 -255.76911963 -255.76911963 -258.73340863 -263.30620206
 -264.26911963 -264.26911963 -264.26911963 -264.26911963 -264.26911963
 -269.66678997 -272.76911963 -272.76911963 -272.76911963 -275.95732938
 -279.69630734 -281.26911963 -281.26911963 -281.26911963 -281.26911963
 -281.26911963 -281.26911963 -281.26911963 -281.26911963 -281.26911963
 -281.26911963 -281.26911963 -281.26911963 -281.26911963 -281.26911963
 -284.16898186 -289.09741909 -288.13284709 -284.17392925 -281.26911963
 -281.26911963 -281.26911963 -281.26911963 -280.09579826 -275.44738075
 -272.76911963 -272.76911963 -272.76911963 -272.76911963 -272.76911963
 -272.76911963 -272.76911963 -272.76911963 -272.76911963 -272.76911963
 -272.76911963 -272.76911963 -272.76911963 -272.76911963 -272.76911963
 -272.76911963 -272.76911963 -272.76911963 -272.76911963 -272.76911963
 -272.76911963 -275.40402101 -278.94621066 -281.26911963 -281.26911963
 -282.55193526 -287.29824037 -290.26911963 -290.26911963 -290.26911963
 -290.26911963 -292.53644375 -296.0786334  -298.76911963 -298.76911963
 -298.76911963 -298.76911963 -298.76911963 -298.76911963 -302.39311763
 -307.26911963 -307.26911963 -307.26911963 -307.26911963 -307.26911963]",Free-span,29.95619998176313
0.0,0.0,198.9413463663084,"[-987.03621015 -983.07729232 -979.11837448 -975.15945665 -971.20053881
 -967.24162098 -963.28270314 -959.3237853  -955.36486747 -951.40594963
 -947.4470318  -943.48811396 -939.52919613 -935.57027829 -931.61136045
 -927.65244262 -923.69352478 -919.73460695 -915.77568911 -911.81677128
 -907.85785344 -903.8989356  -899.94001777 -895.98109993 -892.0221821
 -888.06326426 -884.10434643 -880.14542859 -876.18651076 -872.22759292
 -868.26867508 -864.30975725 -860.35083941 -856.39192158 -852.43300374
 -848.47408591 -844.51516807 -840.55625023 -836.5973324  -832.63841456
 -828.67949673 -824.72057889 -820.76166106 -816.80274322 -812.84382538
 -808.88490755 -804.92598971 -800.96707188 -797.00815404 -793.04923621
 -789.09031837 -785.13140053 -781.1724827  -777.21356486 -773.25464703
 -769.29572919 -765.33681136 -761.37789352 -757.41897569 -753.46005785
 -749.50114001 -745.54222218 -741.58330434 -737.62438651 -733.66546867
 -729.70655084 -725.747633   -721.78871516 -717.82979733 -713.87087949
 -709.91196166 -705.95304382 -701.99412599 -698.03520815 -694.07629031
 -690.11737248 -686.15845464 -682.19953681 -678.24061897 -674.28170114
 -670.3227833  -666.36386546 -662.40494763 -658.44602979 -654.48711196
 -650.52819412 -646.56927629 -642.61035845 -638.65144061 -634.69252278
 -630.73360494 -626.77468711 -622.81576927 -618.85685144 -614.8979336
 -610.93901577 -606.98009793 -603.02118009 -599.06226226 -595.10334442
 -591.14442659 -587.18550875 -583.22659092 -579.26767308 -575.30875524
 -571.34983741 -567.39091957 -563.43200174 -559.4730839  -555.51416607
 -551.55524823 -547.59633039 -543.63741256 -539.67849472 -535.71957689
 -531.76065905 -527.80174122 -523.84282338 -519.88390554 -515.92498771
 -511.96606987 -508.00715204 -504.0482342  -500.08931637 -496.13039853
 -492.1714807  -488.21256286 -484.25364502 -480.29472719 -476.33580935
 -472.37689152 -468.41797368 -464.45905585 -460.50013801 -456.54122017
 -452.58230234 -448.6233845  -444.66446667 -440.70554883 -436.746631
 -432.78771316 -428.82879532 -424.86987749 -420.91095965 -416.95204182
 -412.99312398 -409.03420615 -405.07528831 -401.11637047 -397.15745264
 -393.1985348  -389.23961697 -385.28069913 -381.3217813  -377.36286346
 -373.40394562 -369.44502779 -365.48610995 -361.52719212 -357.56827428
 -353.60935645 -349.65043861 -345.69152078 -341.73260294 -337.7736851
 -333.81476727 -329.85584943 -325.8969316  -321.93801376 -317.97909593
 -314.02017809 -310.06126025 -306.10234242 -302.14342458 -298.18450675
 -294.22558891 -290.26667108 -286.30775324 -282.3488354  -278.38991757
 -274.43099973 -270.4720819  -266.51316406 -262.55424623 -258.59532839
 -254.63641055 -250.67749272 -246.71857488 -242.75965705 -238.80073921
 -234.84182138 -230.88290354 -226.92398571 -222.96506787 -219.00615003
 -215.0472322  -211.08831436 -207.12939653 -203.17047869 -199.21156086
 -195.25264302 -191.29372518 -187.33480735 -183.37588951 -179.41697168
 -175.45805384 -171.49913601 -167.54021817 -163.58130033 -159.6223825
 -155.66346466 -151.70454683 -147.74562899 -143.78671116 -139.82779332
 -135.86887548 -131.90995765 -127.95103981 -123.99212198 -120.03320414
 -116.07428631 -112.11536847 -108.15645064 -104.1975328  -100.23861496
  -96.27969713  -92.32077929  -88.36186146  -84.40294362  -80.44402579
  -76.48510795  -72.52619011  -68.56727228  -64.60835444  -60.64943661
  -56.69051877  -52.73160094  -48.7726831   -44.81376526  -40.85484743
  -36.89592959  -32.93701176  -28.97809392  -25.01917609  -21.06025825
  -17.10134041  -13.14242258   -9.18350474   -5.22458691   -1.26566907
    2.69324876    6.6521666    10.61108444   14.57000227   18.52892011
   22.48783794   26.44675578   30.40567361   34.36459145   38.32350928
   42.28242712   46.24134496   50.20026279   54.15918063   58.11809846
   62.0770163    66.03593413   69.99485197   73.95376981   77.91268764
   81.87160548   85.83052331   89.78944115   93.74835898   97.70727682
  101.66619466  105.62511249  109.58403033  113.54294816  117.501866
  121.46078383  125.41970167  129.37861951  133.33753734  137.29645518
  141.25537301  145.21429085  149.17320868  153.13212652  157.09104435
  161.04996219  165.00888003  168.96779786  172.9267157   176.88563353
  180.84455137  184.8034692   188.76238704  192.72130488  196.68022271
  200.63914055  204.59805838  208.55697622  212.51589405  216.47481189
  220.43372973  224.39264756  228.3515654   232.31048323  236.26940107
  240.2283189   244.18723674  248.14615458  252.10507241  256.06399025
  260.02290808  263.98182592  267.94074375  271.89966159  275.85857943
  279.81749726  283.7764151   287.73533293  291.69425077  295.6531686
  299.61208644  303.57100427  307.52992211  311.48883995  315.44775778
  319.40667562  323.36559345  327.32451129  331.28342912  335.24234696
  339.2012648   343.16018263  347.11910047  351.0780183   355.03693614
  358.99585397  362.95477181  366.91368965  370.87260748  374.83152532
  378.79044315  382.74936099  386.70827882  390.66719666  394.6261145
  398.58503233  402.54395017  406.502868    410.46178584  414.42070367
  418.37962151  422.33853934  426.29745718  430.25637502  434.21529285
  438.17421069  442.13312852  446.09204636  450.05096419  454.00988203
  457.96879987  461.9277177   465.88663554  469.84555337  473.80447121
  477.76338904  481.72230688  485.68122472  489.64014255  493.59906039
  497.55797822  501.51689606  505.47581389  509.43473173  513.39364957
  517.3525674   521.31148524  525.27040307  529.22932091  533.18823874
  537.14715658  541.10607442  545.06499225  549.02391009  552.98282792
  556.94174576  560.90066359  564.85958143  568.81849926  572.7774171
  576.73633494  580.69525277  584.65417061  588.61308844  592.57200628
  596.53092411  600.48984195  604.44875979  608.40767762  612.36659546
  616.32551329  620.28443113  624.24334896  628.2022668   632.16118464
  636.12010247  640.07902031  644.03793814  647.99685598  651.95577381
  655.91469165  659.87360949  663.83252732  667.79144516  671.75036299
  675.70928083  679.66819866  683.6271165   687.58603433  691.54495217
  695.50387001  699.46278784  703.42170568  707.38062351  711.33954135
  715.29845918  719.25737702  723.21629486  727.17521269  731.13413053
  735.09304836  739.0519662   743.01088403  746.96980187  750.92871971
  754.88763754  758.84655538  762.80547321  766.76439105  770.72330888
  774.68222672  778.64114456  782.60006239  786.55898023  790.51789806
  794.4768159   798.43573373  802.39465157  806.35356941  810.31248724
  814.27140508  818.23032291  822.18924075  826.14815858  830.10707642
  834.06599425  838.02491209  841.98382993  845.94274776  849.9016656
  853.86058343  857.81950127  861.7784191   865.73733694  869.69625478
  873.65517261  877.61409045  881.57300828  885.53192612  889.49084395
  893.44976179  897.40867963  901.36759746  905.3265153   909.28543313
  913.24435097  917.2032688   921.16218664  925.12110448  929.08002231
  933.03894015  936.99785798  940.95677582  944.91569365  948.87461149
  952.83352932  956.79244716  960.751365    964.71028283  968.66920067
  972.6281185   976.58703634  980.54595417  984.50487201  988.46378985]","[-311.91699279 -311.91699279 -311.91699279 -311.91699279 -311.91699279
 -311.91699279 -308.63267415 -305.16862105 -299.65132201 -297.57545257
 -297.41699279 -296.98428527 -293.85882382 -290.73336237 -289.91699279
 -283.9953996  -279.99214309 -276.52808999 -275.91699279 -275.91699279
 -270.35486854 -268.81584312 -265.89874577 -262.98164842 -261.91699279
 -261.91699279 -259.96241697 -255.06261737 -251.54850582 -248.08445271
 -242.97210301 -241.03666964 -238.05059333 -234.97143501 -233.91699279
 -229.24170471 -227.12653688 -220.39206794 -216.35697445 -212.509325
 -211.28573027 -208.36863291 -205.45153556 -199.25842566 -192.33031944
 -186.78090812 -184.30627135 -178.54600081 -176.91699279 -176.91699279
 -176.57018807 -173.49102975 -170.41187144 -169.91699279 -169.91699279
 -169.91699279 -169.91699279 -169.91699279 -169.91699279 -169.91699279
 -169.91699279 -169.91699279 -169.91699279 -169.91699279 -175.81579039
 -176.91699279 -176.91699279 -181.17932997 -183.5697984  -183.91699279
 -183.91699279 -183.91699279 -187.90972826 -190.47993117 -190.91699279
 -188.36300982 -184.89895672 -183.91699279 -183.91699279 -183.91699279
 -182.31027936 -177.34704039 -173.73963808 -170.27558498 -165.25880141
 -161.59747876 -156.61664209 -155.91699279 -155.91699279 -155.91699279
 -155.91699279 -150.20932746 -148.91699279 -148.91699279 -148.91699279
 -148.91699279 -148.91699279 -148.91699279 -148.91699279 -152.76637906
 -155.4321481  -155.91699279 -155.91699279 -155.91699279 -155.91699279
 -155.91699279 -155.91699279 -155.91699279 -155.91699279 -155.91699279
 -155.91699279 -155.91699279 -155.91699279 -155.91699279 -155.91699279
 -155.91699279 -155.91699279 -155.91699279 -155.91699279 -155.91699279
 -155.91699279 -155.91699279 -155.91699279 -155.91699279 -153.37440762
 -149.91035451 -148.91699279 -148.91699279 -148.91699279 -148.91699279
 -151.76312951 -154.84228783 -155.91699279 -155.91699279 -157.44605091
 -162.2002468  -165.90321524 -169.36726834 -170.74765411 -174.70657195
 -176.91699279 -179.72348077 -183.18753387 -188.01888407 -191.86564009
 -196.66104339 -197.91699279 -197.91699279 -197.91699279 -197.91699279
 -202.88292465 -204.91699279 -204.91699279 -208.47968067 -211.33658197
 -211.91699279 -211.91699279 -211.91699279 -215.29159246 -218.9435459
 -219.41699279 -219.41699279 -219.41699279 -219.41699279 -219.41699279
 -219.41699279 -219.41699279 -219.41699279 -219.41699279 -219.41699279
 -215.2683024  -212.44042263 -211.91699279 -211.91699279 -209.07889554
 -206.16179819 -204.91699279 -200.14219319 -195.56553989 -192.10148678
 -187.49765411 -184.54518668 -183.91699279 -183.91699279 -183.91699279
